timestamp,equity
2020-02-25,10000.0
2020-02-26,10000.0
2020-02-27,10000.0
2020-02-28,10000.0
2020-03-02,10000.0
2020-03-03,10000.0
2020-03-04,10000.0
2020-03-05,10000.0
2020-03-06,10000.0
2020-03-09,10000.0
2020-03-10,10000.0
2020-03-11,10000.0
2020-03-12,10000.0
2020-03-13,9999.144295730408
2020-03-16,10255.48232834449
2020-03-17,10142.608066453478
2020-03-18,10246.038004879962
2020-03-19,10237.130201044161
2020-03-20,10319.556974004834
2020-03-23,10372.83021713975
2020-03-24,10207.195561758932
2020-03-25,10184.922107172162
2020-03-26,10063.01380153271
2020-03-27,10132.919153158207
2020-03-30,10065.712179665432
2020-03-31,10098.897496701193
2020-04-01,10188.914444409465
2020-04-02,10144.414875203167
2020-04-03,10174.594104319141
2020-04-06,10036.495529883354
2020-04-07,10039.864557551988
2020-04-08,9968.404877002085
2020-04-09,9936.971138754234
2020-04-13,9959.213033362841
2020-04-14,9892.597809460578
2020-04-15,9942.068075227153
2020-04-16,9929.294174066692
2020-04-17,9870.111325021224
2020-04-20,9910.66589695746
2020-04-21,9978.993249674932
2020-04-22,9929.483533935656
2020-04-23,9930.674923111214
2020-04-24,9899.951284371971
2020-04-27,9867.018447161496
2020-04-28,9878.924448922542
2020-04-29,9818.86581048312
2020-04-30,9840.231915697776
2020-05-01,9904.708951079667
2020-05-04,9895.217287647898
2020-05-05,9874.94000167978
2020-05-06,9890.735770749106
2020-05-07,9864.880258641122
2020-05-08,9826.52699518158
2020-05-11,9826.219285394516
2020-05-12,9873.614482597039
2020-05-13,9913.15913523214
2020-05-14,9887.516652976738
2020-05-15,9878.679859091799
2020-05-18,9807.504218345342
2020-05-19,9831.939531436106
2020-05-20,9793.538928009322
2020-05-21,9811.764815397008
2020-05-22,9806.289159186163
2020-05-26,9777.632699016434
2020-05-27,9742.632683236445
2020-05-28,9747.682279742123
2020-05-29,9736.178667702623
2020-06-01,9727.1682939378
2020-06-02,9707.37229763663
2020-06-03,9674.194870595411
2020-06-04,9682.49514485162
2020-06-05,9618.128569393291
2020-06-08,9587.783650391975
2020-06-09,9607.674326627628
2020-06-10,9621.118877323997
2020-06-11,9769.482334656484
2020-06-12,9738.54566606466
2020-06-15,9718.599759867227
2020-06-16,9672.719441616407
2020-06-17,9681.595685474047
2020-06-18,9680.136036484124
2020-06-19,9694.022426874742
2020-06-22,9678.147757860013
2020-06-23,9667.551495192627
2020-06-24,9731.428890989468
2020-06-25,9705.052639241834
2020-06-26,9763.9987884511
2020-06-29,9729.132902578292
2020-06-30,9692.01047826701
2020-07-01,9679.725756768037
2020-07-02,9668.561414493763
2020-07-06,9629.340251634807
2020-07-07,9656.481832852833
2020-07-08,9637.056666295048
2020-07-09,9651.17186652733
2020-07-10,9625.142774539461
2020-07-13,9648.67073825811
2020-07-14,9615.296061353387
2020-07-15,9592.383517208867
2020-07-16,9601.054621208463
2020-07-17,9593.82738620971
2020-07-20,9572.437611011434
2020-07-21,9568.129673992527
2020-07-22,9553.359604213416
2020-07-23,9585.203622177354
2020-07-24,9601.007281241222
2020-07-27,9582.244874224809
2020-07-28,9598.790192775446
2020-07-29,9567.230214614952
2020-07-30,9576.871787942984
2020-07-31,9557.225701538075
2020-08-03,9538.692104363325
2020-08-04,9529.303010860578
2020-08-05,9512.528882468274
2020-08-06,9495.65218414695
2020-08-07,9493.979505304444
2020-08-10,9486.728600322069
2020-08-11,9507.85800570052
2020-08-12,9471.043291176304
2020-08-13,9476.50316739807
2020-08-14,9476.960787081396
2020-08-17,9469.749332071724
2020-08-18,9463.603026324967
2020-08-19,9475.382788173372
2020-08-20,9466.972053993599
2020-08-21,9457.780210354354
2020-08-24,9430.859548983453
2020-08-25,9421.12329572094
2020-08-26,9393.421524890566
2020-08-27,9388.829548068214
2020-08-28,9370.319620877082
2020-08-31,9376.394916672978
2020-09-01,9355.612671054292
2020-09-02,9312.856790641363
2020-09-03,9412.097141967039
2020-09-04,9434.268026624786
2020-09-08,9509.317654690443
2020-09-09,9456.360011337132
2020-09-10,9503.518508703453
2020-09-11,9502.114089675311
2020-09-14,9468.526382918004
2020-09-15,9454.592652560146
2020-09-16,9466.98783398268
2020-09-17,9489.458538432951
2020-09-18,9519.077577936578
2020-09-21,9549.383046965193
2020-09-22,9522.154675807225
2020-09-23,9584.209482865299
2020-09-24,9576.579858145
2020-09-25,9535.654456465378
2020-09-28,9493.727025479158
2020-09-29,9506.453586672378
2020-09-30,9484.732431703418
2020-10-01,9470.688241421998
2020-10-02,9496.23604374292
2020-10-05,9448.754056600454
2020-10-06,9486.334100595064
2020-10-07,9440.201302518959
2020-10-08,9418.590607473561
2020-10-09,9394.676034022446
2020-10-12,9349.639945187419
2020-10-13,9367.226743017356
2020-10-14,9385.578870317682
2020-10-15,9389.784237407568
2020-10-16,9389.413407664182
2020-10-19,9434.299586602947
2020-10-20,9421.517795447948
2020-10-21,9427.48263132028
2020-10-22,9413.335871109839
2020-10-23,9403.94677760709
2020-10-26,9454.774122434568
2020-10-27,9462.892926816356
2020-10-28,9557.296711488936
2020-10-29,9526.462612826133
2020-10-30,9558.14094090473
