timestamp,equity
2019-11-15,10000.0
2019-11-18,9998.129047680879
2019-11-19,9987.722580343758
2019-11-20,9961.87238477898
2019-11-21,9949.92154422549
2019-11-22,9946.909231298276
2019-11-25,9986.858503487683
2019-11-26,9967.411500857539
2019-11-27,9998.030699276806
2019-11-29,9991.768122193329
2019-12-02,9963.276163781075
2019-12-03,9920.474586307477
2019-12-04,9939.815443461106
2019-12-05,9972.855281069607
2019-12-06,10017.506405196624
2019-12-09,9982.763393296522
2019-12-10,9995.651258983467
2019-12-11,10015.047921431238
2019-12-12,10020.15751892356
2019-12-13,10051.991847034029
2019-12-16,10092.822174077104
2019-12-17,10096.598346908413
2019-12-18,10089.769993358721
2019-12-19,10091.194295133175
2019-12-20,10085.104209046716
2019-12-23,10124.575405144757
2019-12-24,10125.888991371237
2019-12-26,10174.92813641108
2019-12-27,10172.912741690498
2019-12-30,10187.237873104588
2019-12-31,10205.05063055592
2020-01-02,10263.601973514656
2020-01-03,10236.783077230288
2020-01-06,10256.65314006502
2020-01-07,10243.273784577685
2020-01-08,10284.804329492938
2020-01-09,10341.011655403847
2020-01-10,10346.040243643904
2020-01-13,10403.943079455108
2020-01-14,10364.944140904561
2020-01-15,10352.000374796591
2020-01-16,10385.598173131599
2020-01-17,10415.5904173002
2020-01-21,10395.431731316454
2020-01-22,10404.427445362722
2020-01-23,10416.950177524719
2020-01-24,10407.804426373947
2020-01-27,10323.971375173322
2020-01-28,10400.348749893568
2020-01-29,10458.218480354597
2020-01-30,10453.037447236882
2020-01-31,10325.048522442794
2020-02-03,10316.445082206406
2020-02-04,10405.650244533193
2020-02-05,10427.533033807562
2020-02-06,10459.93620631921
2020-02-07,10413.088510101981
2020-02-10,10425.49802801951
2020-02-11,10407.45793560921
2020-02-12,10473.503481167489
2020-02-13,10451.882833317442
2020-02-14,10451.604661616331
2020-02-18,10398.009411942348
2020-02-19,10437.819822266561
2020-02-20,10407.54431018395
2020-02-21,10342.335983990997
2020-02-24,10209.870948450016
2020-02-25,10119.50670583131
2020-02-26,10158.962236371694
2020-02-27,9988.849123335658
2020-02-28,9986.41044678825
2020-03-02,10210.269523973006
2020-03-03,10125.510258046601
2020-03-04,10243.107676671278
2020-03-05,10155.237391114326
2020-03-06,10118.85747425667
2020-03-09,10319.973625924029
2020-03-10,10035.316102095549
2020-03-11,10199.179329904953
2020-03-12,10667.667082423919
2020-03-13,10147.601231968618
2020-03-16,10772.720168370899
2020-03-17,10584.951666524867
2020-03-18,10692.652245949952
2020-03-19,10724.832186779127
2020-03-20,10996.20285836736
2020-03-23,11080.49101241748
2020-03-24,10685.09012187329
2020-03-25,10707.726436847928
2020-03-26,10480.501277679703
2020-03-27,10666.845751679542
2020-03-30,10542.058575688468
2020-03-31,10550.30596200678
2020-04-01,10783.414799776678
2020-04-02,10712.144722405814
2020-04-03,10772.646880060609
2020-04-06,10402.920662112596
2020-04-07,10455.236164240034
2020-04-08,10338.077153557017
2020-04-09,10303.213871123313
2020-04-13,10210.22780046838
2020-04-14,9967.62913772337
2020-04-15,10012.548250689255
2020-04-16,9971.88583395263
2020-04-17,10039.119884566117
2020-04-20,10140.932990611496
2020-04-21,10289.400859175763
2020-04-22,10153.422290543898
2020-04-23,10170.96060500055
2020-04-24,10031.109472614007
2020-04-27,10026.563901914313
2020-04-28,10105.88500643347
2020-04-29,9945.043979965712
2020-04-30,9837.832440022463
2020-05-01,9914.543515578112
2020-05-04,9984.639244781243
2020-05-05,10008.59403383141
2020-05-06,10037.423030354988
2020-05-07,10062.118971581713
2020-05-08,10117.386012934356
2020-05-11,10158.515993757199
2020-05-12,10126.194501412367
2020-05-13,10092.705667200982
2020-05-14,10107.998183072545
2020-05-15,10091.236701077596
2020-05-18,10153.038608358263
2020-05-19,10136.278998587151
2020-05-20,10188.027647207999
2020-05-21,10166.39975717669
2020-05-22,10183.116804578178
2020-05-26,10163.351330362295
2020-05-27,10174.379896639013
2020-05-28,10174.61149046458
2020-05-29,10170.878134741832
2020-06-01,10203.718242293176
2020-06-02,10215.656584541484
2020-06-03,10229.9739921532
2020-06-04,10204.753225756911
2020-06-05,10283.26710430309
2020-06-08,10299.234019440011
2020-06-09,10389.327089315255
2020-06-10,10464.905124377496
2020-06-11,10317.388593042086
2020-06-12,10341.44869450725
2020-06-15,10376.70549180192
2020-06-16,10454.323012160563
2020-06-17,10449.082406765832
2020-06-18,10449.30865500186
