,0
Total Return,-0.3248685166771603
Annualized Return,-0.06560225873322734
Annualized Volatility,0.07554405576576934
Sharpe Ratio,-0.8603327495909003
Sortino Ratio,-1.316219289011774
Calmar Ratio,-0.18493455465562217
Max Drawdown,-0.3547322935694158
Average Drawdown,-0.18092728983380332
Hit Rate,1.0
Profit Factor,
Expectancy,2138.137595547045
Turnover,0.25129487451449284
Time in Market,0.9917751884852639
Skew,0.18725327647963672
Kurtosis,9.3396320106914
