,timestamp,side,quantity,price,commission,slippage
0,2019-11-18,BUY,11.673399237752148,267.1082262560308,1.5590304823872392,0.06693240775343254
1,2019-11-19,SELL,3.6416569674707873,266.2944789619322,1.0,0.02220651938904734
2,2019-11-20,BUY,1.1308642221036163,263.2030815027161,1.0,0.005769939160123333
3,2019-11-21,SELL,0.34862250553601726,262.0065572061601,1.0,0.0016580174346429643
4,2019-11-22,BUY,0.10545910249134671,261.78027815504953,1.0,0.0006831252959589118
5,2019-11-25,SELL,0.03339422532383374,266.37060282370015,1.0,0.00019396954064211379
6,2019-11-26,BUY,0.009216428778470842,264.2939808583187,1.0,4.746525270229995e-05
7,2019-11-27,SELL,0.004010800967867212,267.8501313817859,1.0,2.661715226400154e-05
8,2019-11-29,BUY,8.672584589142218e-05,267.25943015705803,1.0,6.789293435671188e-07
9,2019-12-02,SELL,0.0011943968789083215,264.1649746343818,1.0,6.481864039634036e-06
10,2019-12-03,SELL,0.000799023374403518,259.46223181050647,1.0,3.8248984827370015e-06
11,2019-12-04,SELL,0.0009253312272186065,261.7520974392629,1.0,5.907285252005129e-06
12,2019-12-05,SELL,0.0008846015681207575,265.58161333961357,1.0,5.438313203520151e-06
13,2019-12-06,SELL,0.0008930921892869037,270.7173457658189,1.0,4.692369342393697e-06
14,2019-12-09,SELL,0.0008851056751595365,266.91967515285234,1.0,4.164445570493908e-06
15,2019-12-10,SELL,0.0008915533928526287,268.48357538110696,1.0,5.031422798639772e-06
16,2019-12-11,SELL,0.0008879167516262498,270.7797323735672,1.0,5.413620760575376e-06
17,2019-12-12,SELL,0.0008866765488910744,271.4659809928249,1.0,4.101666198903268e-06
18,2019-12-13,SELL,0.0008863582633988898,275.1624524993457,1.0,4.217980259068078e-06
19,2019-12-16,SELL,0.000882634455598108,279.8721725719014,1.0,4.36122280711116e-06
20,2019-12-17,SELL,0.0008789779861011482,280.4102613575262,1.0,4.610675876056845e-06
21,2019-12-18,SELL,0.0008796204618253256,279.75388014201013,1.0,4.56751103523412e-06
22,2019-12-19,SELL,0.0008800841404035253,280.0273529066207,1.0,4.9660444782641525e-06
23,2019-12-20,SELL,0.0008796517636202594,279.4517672878282,1.0,2.9585904186072224e-06
24,2019-12-23,SELL,0.0008803841436204607,284.0128973417769,1.0,5.033239351459723e-06
25,2019-12-24,SELL,0.000875457722292694,284.2759770416209,1.0,7.1485289861473805e-06
26,2019-12-26,SELL,0.0008768221699444467,289.9114626404185,1.0,5.2622718644401336e-06
27,2019-12-27,SELL,0.0008706011838892636,289.79583824265836,1.0,4.170667676195996e-06
28,2019-12-30,SELL,0.0008728240301252299,291.52284293479613,1.0,4.237224887496282e-06
29,2019-12-31,SELL,0.0008703124483364633,293.64399157364386,1.0,5.086012271027174e-06
30,2020-01-02,SELL,0.0008690121733749834,300.3552846097635,1.0,4.482061881717619e-06
31,2020-01-03,SELL,0.0008626497302142155,297.44472699838457,1.0,4.2392803915646634e-06
32,2020-01-06,SELL,0.0008678114565725537,299.7980225175729,1.0,4.778296010127583e-06
33,2020-01-07,SELL,0.000863635245348604,298.4024892581964,1.0,4.880861108230749e-06
34,2020-01-08,SELL,0.0008665036932136161,303.19755941047583,1.0,4.567031274922045e-06
35,2020-01-09,SELL,0.0008606542719498123,309.6479666147509,1.0,4.082025626239076e-06
36,2020-01-10,SELL,0.0008562440147148465,310.32832476370703,1.0,4.4774813884966406e-06
37,2020-01-13,SELL,0.0008571581289480434,316.9722466961487,1.0,4.917788023798069e-06
38,2020-01-14,SELL,0.0008501791087329735,312.6852466894862,1.0,4.169291591775495e-06
39,2020-01-15,SELL,0.0008570160710714703,311.3386294004577,1.0,4.832816893265793e-06
40,2020-01-16,SELL,0.000855867706727409,315.2423079562634,1.0,5.172499523186116e-06
41,2020-01-17,SELL,0.0008523849454604715,318.7385324094355,1.0,4.62852245553881e-06
42,2020-01-21,SELL,0.0008501877602888896,316.57723919981316,1.0,5.112833318307509e-06
43,2020-01-22,SELL,0.0008531502736150998,317.70554754969726,1.0,5.3719085401347674e-06
44,2020-01-23,SELL,0.0008509317664255889,319.23169818866086,1.0,5.315233518337872e-06
45,2020-01-24,SELL,0.0008502385789448397,318.31127288701435,1.0,4.4713764114342214e-06
46,2020-01-27,SELL,0.0008514104347430163,308.9603596251781,1.0,4.134165013419984e-06
47,2020-01-28,SELL,0.0008602687356393801,317.69597852777224,1.0,4.291391850538615e-06
48,2020-01-29,SELL,0.0008483013492419644,324.34211584499315,1.0,3.7389413964257257e-06
49,2020-01-30,SELL,0.0008461581870111701,323.8713514900875,1.0,4.868374545332514e-06
50,2020-01-31,SELL,0.0008474346252231868,309.52947470364643,1.0,3.7133375703531765e-06
51,2020-02-03,SELL,0.000861139664277033,308.67105272487186,1.0,4.030289556991176e-06
52,2020-02-04,SELL,0.0008570505982188337,318.8604065283023,1.0,4.676037546278901e-06
53,2020-02-05,SELL,0.0008483298505499448,321.44568297299884,1.0,5.0030752507611694e-06
54,2020-02-06,SELL,0.00084901570240703,325.2196981162466,1.0,5.378252440136814e-06
55,2020-02-07,SELL,0.0008450179574523986,320.0393155620342,1.0,4.985772547788353e-06
56,2020-02-10,SELL,0.0008516457186207305,321.5547353199281,1.0,5.237553155484101e-06
57,2020-02-11,SELL,0.0008476630525908746,319.6295787367002,1.0,5.5793318003321625e-06
58,2020-02-12,SELL,0.0008510629642373146,327.2062193781123,1.0,5.222362460890068e-06
59,2020-02-13,SELL,0.0008422671623087297,324.8761076968436,1.0,5.62217908865745e-06
60,2020-02-14,SELL,0.0008479178085440964,324.95828285476017,1.0,6.156700445525432e-06
61,2020-02-18,SELL,0.0008456935150036315,319.0104704433685,1.0,4.36548986460281e-06
62,2020-02-19,SELL,0.0008524090219648173,323.62589795616753,1.0,5.690959039193732e-06
63,2020-02-20,SELL,0.0008453156236161163,320.3154762591015,1.0,5.399986248120558e-06
64,2020-02-21,SELL,0.0008512620048488628,313.0539666023991,1.0,4.679779229008724e-06
65,2020-02-24,SELL,0.000856254401742973,298.1850957233841,1.0,3.4256695882710813e-06
66,2020-02-25,SELL,0.00086929200868191,288.07771120447137,1.0,3.2976215609977348e-06
67,2020-02-26,SELL,0.0008750103966708167,292.65407287221615,1.0,3.6331028218207766e-06
68,2020-02-27,SELL,0.0008684129367644289,273.52235750349365,1.0,2.653131387435686e-06
69,2020-02-28,SELL,0.000890061258735031,273.3591820103619,1.0,2.3551791626912267e-06
70,2020-03-02,SELL,0.0008833186287677819,298.8016054798659,1.0,2.856903260100848e-06
71,2020-03-03,SELL,0.0008592356978009974,289.3236575114964,1.0,2.7816512371249607e-06
72,2020-03-04,SELL,0.0008771424700562136,302.74594135786253,1.0,3.587350801818407e-06
73,2020-03-05,SELL,0.0008573512628569091,292.91421241766466,1.0,3.6672276426935573e-06
74,2020-03-06,SELL,17.66882726124944,289.02716351710507,2.5533855129963126,0.06791198158656336
75,2020-03-09,SELL,5.958357031369598,266.1645791760971,1.0,0.01873069317252734
76,2020-03-10,SELL,1.8501212380842311,285.3440566270173,1.0,0.006251014945883918
77,2020-03-11,SELL,0.6150960359236493,275.4392659571896,1.0,0.002116174045924392
78,2020-03-12,SELL,0.19660525843917398,248.2348311535846,1.0,0.0004771438427485559
79,2020-03-13,SELL,0.05580383655468424,277.97292440857075,1.0,0.00016112462715874257
80,2020-03-16,SELL,0.016940385191006158,242.21645276160712,1.0,4.5702374196948225e-05
