,0
Total Return,-0.3115021459649646
Annualized Return,-0.05977537692338275
Annualized Volatility,0.13898743255298196
Sharpe Ratio,-0.3638368532422372
Sortino Ratio,-0.3046825169144371
Calmar Ratio,-0.13437132594805956
Max Drawdown,-0.44485217736474947
Average Drawdown,-0.32689350590453026
Hit Rate,0.09043250327653997
Profit Factor,0.942260273952793
Expectancy,-3.147690772767325
Turnover,20.418860587147428
Time in Market,1.0
Skew,-19.727238856666467
Kurtosis,622.6906094589528
